SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532432,UNITD SPR   ,B ,Q,515.50,525.90,515.15,523.40,525.75,516.55,1841,37895,19719126.00,
532435,SANINFRA    ,X ,Q,88.55,97.35,79.70,86.65,81.75,88.55,58,1266,109988.00,
532439,OLECTRA     ,B ,Q,207.00,207.00,198.15,198.15,198.15,208.55,890,34241,6821230.00,
532440,MPS LTD     ,B ,Q,591.00,607.40,565.00,597.75,592.40,581.40,316,1660,968787.00,
532441,RNBOWDENIM  ,X ,Q,1.06,1.06,1.06,1.06,1.06,1.06,2,40,42.00,
532443,CERA SANITAR,A ,Q,3702.20,3862.40,3702.20,3806.40,3778.20,3762.40,261,637,2428694.00,
532444,T. SPIRITUAL,XT,Q,0.27,0.27,0.27,0.27,0.27,0.28,6,2100,567.00,
532454,BHARTI ARTL ,A ,Q,523.50,538.40,523.30,536.00,536.00,522.35,2703,160932,85344666.00,
532455,SHALIMAR WIR,X ,Q,5.00,5.31,4.48,5.01,5.01,4.86,49,7484,37601.00,
532456,COMPUAGE INF,B ,Q,15.30,16.15,15.25,15.35,15.45,15.70,261,48104,749504.00,
532457,GULSHAN POLY,B ,Q,112.00,114.60,107.70,113.05,113.05,105.75,750,42134,4704200.00,
532459,FAZE3AUTO   ,X ,Q,77.45,77.45,67.20,72.55,75.75,73.50,23,2284,163760.00,
532460,PONNI SUG(ER,B ,Q,150.00,150.00,150.00,150.00,150.00,142.00,5,200,30000.00,
532461,PUNJAB NATIO,A ,Q,33.85,35.25,33.65,35.10,35.10,34.00,17067,8988207,310157786.00,
532466,ORACLE FIN  ,A ,Q,3364.40,3403.80,3253.05,3298.10,3290.00,3339.30,1438,6693,22293489.00,
532467,HAZ MUL PRO ,X ,Q,3.40,3.41,3.40,3.41,3.41,1.30,9,1720,5860.00,
532468,KAMAHOLDING ,A ,Q,5910.00,5911.00,5755.55,5777.50,5755.55,5769.15,67,192,1122104.00,
532475,APTECH LTD  ,A ,Q,199.00,209.45,198.25,203.00,200.00,194.55,1015,31061,6358972.00,
532477,UNION BANK L,A ,Q,35.50,35.50,34.20,35.10,35.10,34.35,1270,961407,33574685.00,
532478,UNITED BREWA,A ,Q,1076.00,1110.40,1076.00,1101.45,1099.35,1086.55,964,13074,14375800.00,
532479,ISMT LTD    ,B ,Q,10.10,10.41,9.84,9.98,9.95,10.20,51,18810,189694.00,
532481,NOIDA-TOLL B,T ,Q,6.26,6.89,6.26,6.65,6.65,6.57,38,6688,44674.00,
532482,GRANULES (I),A ,Q,320.50,324.60,312.45,317.95,317.95,316.70,1322,44719,14278744.00,
532483,CANARA BANK ,A ,Q,135.00,137.95,131.70,137.35,137.35,132.15,4307,739049,99799424.00,
532485,BALMER LA.IN,B ,Q,440.00,454.00,433.20,451.05,451.00,436.65,234,4873,2165758.00,
532486,POKARNA LTD ,B ,Q,244.00,244.75,229.00,234.85,235.00,234.20,771,20565,4840307.00,
532488,DIVI'S LAB. ,A ,Q,3800.00,3848.55,3701.90,3720.25,3720.25,3783.40,3635,33070,124505321.00,
532493,ASTRA MICRO ,A ,Q,114.00,118.50,113.10,116.10,116.10,115.05,374,42558,4937212.00,
532497,RADICOKHAIT ,A ,Q,510.00,531.00,508.50,514.60,514.60,510.80,1065,37650,19483397.00,
532498,SHRMCITYUN  ,A ,Q,1411.35,1468.20,1401.45,1435.45,1435.00,1397.40,132,362,521379.00,
532500,MARUTISUZUK ,A ,Q,6525.00,6842.10,6470.90,6818.45,6818.45,6518.65,5606,37650,253798592.00,
532503,RAJAPAMILLS ,X ,Q,675.00,697.85,668.00,670.95,670.95,680.05,190,2414,1630168.00,
532504,NAVIN FLUORI,A ,Q,2950.00,3037.65,2922.40,2961.55,2953.65,2937.30,1177,6526,19507547.00,
532505,UCOBANK     ,A ,Q,11.25,11.62,11.14,11.50,11.50,11.16,2928,1413899,16085629.00,
532507,BAG FIL MED ,B ,Q,1.94,2.05,1.94,2.05,2.05,1.96,39,62008,125679.00,
532508,JSL         ,A ,Q,74.90,74.90,70.50,72.90,72.90,71.55,883,122484,8841109.00,
